Number,Value,Name
422,0.000401128,temperature6
120,0.000401127,wind_speed_100m13
472,0.000399262,temperature11
407,0.000398861,radiation4
236,0.000398142,wind_direction_100m6
202,0.000393096,radiation2
301,0.00039259,wind_gust12
36,0.000390906,wind_gust4
187,0.000389979,temperature
192,0.000380929,radiation
303,0.000379057,wind_speed12
343,0.000377993,wind_speed16
17,0.000377628,radiation2
275,0.000377523,wind_speed_100m10
440,0.000375271,wind_speed_100m8
90,0.000375141,wind_speed_100m10
7,0.000373396,radiation
73,0.000371406,air_density8
273,0.000368172,wind_speed9
197,0.000365833,temperature2
204,0.000359682,wind_direction2
514,0.000359319,pressure15
10,0.000358506,wind_speed_100m2
47,0.000358429,radiation5
386,0.000354962,wind_gust2
392,0.000354756,temperature3
431,0.000350852,wind_direction_100m7
31,0.000350474,wind_direction_100m4
116,0.000350283,wind_gust12
203,0.000348126,wind_speed2
388,0.000345051,wind_speed2
48,0.000343839,wind_speed5
326,0.000343326,wind_direction_100m15
294,0.000342748,wind_direction11
259,0.000342625,pressure8
297,0.000340986,temperature12
317,0.000340804,temperature14
409,0.000336842,wind_direction4
377,0.000329634,radiation
448,0.000329465,wind_speed8
327,0.00032945,temperature15
205,0.000327033,wind_speed_100m3
144,0.000324524,pressure15
249,0.000324353,pressure7
289,0.000324036,pressure11
336,0.000322357,wind_direction_100m16
305,0.000319948,wind_speed_100m13
393,0.000319582,air_density3
94,0.000316211,pressure10
502,0.000313059,temperature14
63,0.000311672,air_density7
117,0.000311278,radiation12
216,0.000311122,wind_direction_100m4
23,0.000310182,air_density3
277,0.000307573,temperature10
118,0.00030747,wind_speed12
528,0.000301626,wind_speed16
308,0.000300915,air_density13
37,0.000300776,radiation4
283,0.000300009,wind_speed10
153,0.000296809,air_density16
77,0.00029329,radiation8
384,0.000292972,pressure2
400,0.000291316,wind_speed_100m4
224,0.000290401,wind_direction4
459,0.000289601,wind_direction9
252,0.000289171,radiation7
142,0.000285193,temperature15
267,0.000284963,temperature9
266,0.000284659,wind_direction_100m9
265,0.000282585,wind_speed_100m9
406,0.000281991,wind_gust4
457,0.000280507,radiation9
217,0.000280239,temperature4
104,0.000279656,pressure11
87,0.000278525,radiation9
287,0.00027668,temperature11
110,0.000273916,wind_speed_100m12
207,0.000271611,temperature3
480,0.000269871,wind_speed_100m12
503,0.000267999,air_density14
437,0.00026723,radiation7
488,0.000266724,wind_speed12
272,0.000264659,radiation9
263,0.000264215,wind_speed8
348,0.000263443,air_density17
424,0.000262765,pressure6
329,0.00025878,pressure15
432,0.00025736,temperature7
147,0.000253634,radiation15
247,0.000250928,temperature7
137,0.000250517,radiation14
292,0.000247625,radiation11
313,0.000247082,wind_speed13
498,0.000245257,wind_speed13
547,0.000243893,radiation18
383,0.000243691,air_density2
322,0.000243327,radiation14
123,0.000241933,air_density13
464,0.000240119,pressure10
493,0.000239368,air_density13
537,0.000238374,radiation17
57,0.000237796,radiation6
221,0.00023562,wind_gust4
107,0.000231511,radiation11
417,0.000228595,radiation5
232,0.000225194,radiation5
258,0.000224196,air_density8
473,0.000220328,air_density11
433,0.000219583,air_density7
67,0.000218252,radiation7
533,0.000217693,air_density17
474,0.000213949,pressure11
97,0.000213594,radiation10
427,0.00021176,radiation6
512,0.000208573,temperature15
352,0.000201641,radiation17
447,0.000190288,radiation8
403,0.000188287,air_density4
43,0.000179869,air_density5
177,0.000177279,radiation18
248,0.000174964,air_density7
463,0.000173939,air_density10
198,0.000171112,air_density2
103,0.000170372,air_density11
477,0.000170188,radiation11
33,0.000170063,air_density4
237,0.000169645,temperature6
13,0.000168981,air_density2
173,0.000168565,air_density18
298,0.000157568,air_density12
443,0.00015611,air_density8
413,0.000154146,air_density5
483,0.00015139,air_density12
238,0.000148507,air_density6
288,0.000146727,air_density11
143,0.000146061,air_density15
517,0.00014201,radiation15
362,0.000139936,radiation18
188,0.000138673,air_density
373,0.00013027,air_density
113,0.000129737,air_density12
133,0.000125814,air_density14
423,0.000123554,air_density6
507,0.000122774,radiation14
332,0.000120601,radiation15
218,0.000118304,air_density4
53,0.000104643,air_density6
282,0.00010357,radiation10
163,0.000102465,air_density17
467,0.000100779,radiation10
228,9.80E-05,air_density5
93,8.94E-05,air_density10
543,8.76E-05,air_density18
328,8.56E-05,air_density15
358,7.88E-05,air_density18
453,7.64E-05,air_density9
83,7.58E-05,air_density9
318,7.05E-05,air_density14
208,6.13E-05,air_density3
513,5.26E-05,air_density15
278,5.08E-05,air_density10
250,3.91E-05,precipitation7
25,3.85E-05,precipitation3
268,3.45E-05,air_density9
75,2.46E-05,precipitation8
535,2.33E-05,precipitation17
200,1.66E-05,precipitation2
445,1.64E-05,precipitation8
95,1.45E-05,precipitation10
425,1.33E-05,precipitation6
125,1.30E-05,precipitation13
300,1.27E-05,precipitation12
155,1.27E-05,precipitation16
310,1.16E-05,precipitation13
260,1.11E-05,precipitation8
240,9.95E-06,precipitation6
375,9.60E-06,precipitation
145,8.10E-06,precipitation15
65,7.46E-06,precipitation7
45,7.26E-06,precipitation5
395,7.24E-06,precipitation3
15,6.99E-06,precipitation2
475,6.85E-06,precipitation11
230,6.85E-06,precipitation5
220,6.50E-06,precipitation4
415,6.38E-06,precipitation5
55,6.21E-06,precipitation6
360,6.18E-06,precipitation18
165,5.68E-06,precipitation17
455,5.64E-06,precipitation9
340,5.63E-06,precipitation16
210,5.38E-06,precipitation3
525,5.22E-06,precipitation16
495,4.75E-06,precipitation13
545,4.41E-06,precipitation18
465,4.39E-06,precipitation10
135,4.31E-06,precipitation14
175,4.24E-06,precipitation18
280,3.87E-06,precipitation10
385,3.83E-06,precipitation2
505,3.79E-06,precipitation14
85,3.70E-06,precipitation9
330,3.06E-06,precipitation15
270,3.00E-06,precipitation9
5,2.99E-06,precipitation
105,2.89E-06,precipitation11
320,2.74E-06,precipitation14
515,2.66E-06,precipitation15
435,2.57E-06,precipitation7
35,2.49E-06,precipitation4
290,2.49E-06,precipitation11
485,1.99E-06,precipitation12
115,1.89E-06,precipitation12
405,1.44E-06,precipitation4
350,9.81E-07,precipitation17
190,8.14E-07,precipitation
